*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0437953 	0.001000	0.0429453 	0.001000	0.0495811 	0.001000	0.0495811 	0.001000	0.0237194 	0.001000	0.0192259 	
0.002000	0.055961  	0.002000	0.053152  	0.002000	0.0621131 	0.002000	0.0621131 	0.002000	0.0395055 	0.002000	0.0136465 	
0.005000	0.0865789 	0.005000	0.0815421 	0.005000	0.0938162 	0.005000	0.0938162 	0.005000	0.0737056 	0.005000	0.00783655	
0.008000	0.109526  	0.008000	0.104246  	0.008000	0.117995  	0.008000	0.117995  	0.008000	0.0985404 	0.008000	0.0057058 	
0.010000	0.122185  	0.010000	0.1171    	0.010000	0.13142   	0.010000	0.13142   	0.010000	0.112236  	0.010000	0.00486441	
0.015000	0.155892  	0.015000	0.143178  	0.015000	0.159295  	0.015000	0.159295  	0.015000	0.139574  	0.015000	0.0036045 	
0.020000	0.184091  	0.020000	0.165481  	0.020000	0.182222  	0.020000	0.182222  	0.020000	0.162575  	0.020000	0.00290534	
0.025000	0.208136  	0.025000	0.185211  	0.025000	0.202242  	0.025000	0.202242  	0.025000	0.182761  	0.025000	0.0024496 	
0.030000	0.228748  	0.030000	0.202997  	0.030000	0.216387  	0.030000	0.216387  	0.030000	0.20087   	0.030000	0.00212667	
0.035000	0.246366  	0.035000	0.219192  	0.035000	0.228864  	0.035000	0.228864  	0.035000	0.217307  	0.035000	0.0018847 	
0.040000	0.261291  	0.040000	0.234011  	0.040000	0.240051  	0.040000	0.240051  	0.040000	0.232315  	0.040000	0.00169598	
0.045000	0.273764  	0.045000	0.247591  	0.045000	0.250191  	0.045000	0.250191  	0.045000	0.246047  	0.045000	0.00154429	
0.050000	0.284004  	0.050000	0.260027  	0.050000	0.259449  	0.050000	0.259449  	0.050000	0.258607  	0.050000	0.00141945	
0.055000	0.29222   	0.055000	0.271387  	0.055000	0.267941  	0.055000	0.267941  	0.055000	0.270073  	0.055000	0.00131474	
0.060000	0.298622  	0.060000	0.281729  	0.060000	0.275751  	0.060000	0.275751  	0.060000	0.280504  	0.060000	0.00122554	
0.070000	0.30681   	0.070000	0.299556  	0.070000	0.289565  	0.070000	0.289565  	0.070000	0.298474  	0.070000	0.00108138	
